Label,verbs,articles,nouns,pronouns,adjectives,prepositions,particles,conjunctions,unknowns,adverbs,propers,interjections
B187,0.1875,0.125,0.0625,0.0625,0.25,0.125,0.0625,0.125,0,0,0,0
B188,0.3076923077,0.1538461538,0.2307692308,0,0.0769230769,0.1538461538,0.0769230769,0,0,0,0,0
B189,0.2068965517,0.2068965517,0.2068965517,0.0689655172,0,0.0344827586,0.0689655172,0.0689655172,0,0.0689655172,0.0689655172,0
B190,0.2,0.2,0.2,0,0,0,0,0.2,0,0.2,0,0
B191,0.1111111111,0.2222222222,0.4444444444,0,0,0.1111111111,0.1111111111,0,0,0,0,0
B192,0.1666666667,0.2222222222,0.1666666667,0,0.1111111111,0.1111111111,0.1111111111,0.0555555556,0,0.0555555556,0,0
B193,0.1428571429,0.1142857143,0.1142857143,0.0285714286,0.1714285714,0.1142857143,0.1142857143,0.0857142857,0,0.0285714286,0.0857142857,0
B194,0.2,0.15,0.15,0.1,0.15,0.05,0.05,0.05,0,0,0.1,0
B195,0.1818181818,0.1818181818,0,0.1818181818,0.1818181818,0.0909090909,0.0909090909,0,0,0,0.0909090909,0
B196,0.28,0.16,0.12,0.04,0.08,0.04,0.12,0.12,0,0.04,0,0
B197,0.0588235294,0.2941176471,0.1764705882,0.0588235294,0.0588235294,0,0.1764705882,0.0588235294,0,0.0588235294,0.0588235294,0
B198,0.2258064516,0.0967741936,0.0322580645,0,0.2580645161,0,0.0967741936,0.1290322581,0,0.1612903226,0,0
B199,0.1111111111,0.1111111111,0,0.2222222222,0.1111111111,0,0.3333333333,0,0,0,0.1111111111,0
B200,0.25,0.15,0.15,0.1,0.1,0.1,0.05,0,0,0,0.1,0
B201,0.1875,0.3125,0,0.0625,0.0625,0.125,0.0625,0.0625,0,0,0.125,0
B202,0.375,0,0.125,0.25,0,0.125,0.125,0,0,0,0,0
B203,0.275862069,0.1724137931,0.1034482759,0.1034482759,0.0689655172,0.0689655172,0.1034482759,0.0689655172,0,0,0.0344827586,0
B204,0.2222222222,0.2222222222,0.2222222222,0,0,0.1111111111,0.2222222222,0,0,0,0,0
B205,0.25,0.05,0.1,0.1,0.15,0.05,0.15,0,0,0.05,0.1,0
B206,0.2142857143,0.0714285714,0.2142857143,0,0,0,0.0714285714,0.1428571429,0,0,0.2857142857,0
B207,0.2307692308,0.1538461538,0.0769230769,0.0769230769,0,0.1538461538,0.0769230769,0,0.0769230769,0.0769230769,0.0769230769,0
B208,0.1538461538,0.1794871795,0.1282051282,0.0769230769,0.2051282051,0.1025641026,0.0769230769,0.0256410256,0,0,0.0512820513,0
B209,0.1578947368,0.2631578947,0.1052631579,0.052631579,0.052631579,0.1052631579,0.052631579,0.052631579,0.052631579,0,0.1052631579,0
B210,0.2,0.1142857143,0.1142857143,0.0285714286,0.1428571429,0.0285714286,0.1142857143,0.0857142857,0.0285714286,0.0857142857,0.0571428571,0
B211,0.2666666667,0.2,0.2,0,0.0666666667,0,0.0666666667,0,0,0.0666666667,0.1333333333,0
B212,0.2,0.15,0.15,0.05,0.1,0,0.1,0.15,0,0,0.1,0
B213,0.1666666667,0.2222222222,0.0555555556,0.0555555556,0.1111111111,0.1666666667,0.0555555556,0,0.0555555556,0,0.1111111111,0
B214,0.25,0.25,0.125,0,0,0.1875,0.0625,0.0625,0.0625,0,0,0
B215,0.1111111111,0.2222222222,0.2222222222,0.1111111111,0,0.1111111111,0.1111111111,0,0,0,0.1111111111,0
B216,0.2105263158,0.052631579,0.1052631579,0,0.2105263158,0,0.1052631579,0.052631579,0,0.1578947368,0.1052631579,0
B217,0.25,0.1875,0.1875,0.125,0.0625,0.125,0,0.0625,0,0,0,0
B218,0.0769230769,0.1538461538,0.1538461538,0,0,0.1538461538,0.2307692308,0,0,0,0.2307692308,0
B219,0.1764705882,0.1176470588,0.1176470588,0,0.1176470588,0.0588235294,0.1176470588,0.0588235294,0,0.1176470588,0.1176470588,0
